,shading60,move_sequence,shading_move_0,shading_move_1,shading_move_2,shading_move_3,shading_move_4,shading_move_5,shading_move_6,shading_move_7,shading_move_8,shading_move_9,shading_move_10,shading_move_11,shading_move_12,read_sequence
SPC_3986,26.1,0001000000111,26.1,26.1,23.7,24.3,26.1,26.1,26.1,23.7,23.7,26.1,24.3,21.5,24.3,0010000110010
SPC_3987,26.3,0000000100111,26.3,24.0,26.3,26.3,24.0,24.0,24.0,21.8,26.3,26.3,21.8,24.5,24.5,0100111100100
SPC_3988,22.4,0010010110110,22.4,19.7,20.2,22.4,19.7,20.2,22.4,17.1,17.1,22.4,17.1,20.2,19.7,0100100110101
SPC_3989,25.0,0111110101000,25.0,23.0,20.2,20.2,20.2,20.2,22.5,23.0,25.0,23.0,22.5,25.0,25.0,0011111000100
SPC_3990,23.0,0010100110110,23.0,23.0,20.9,23.0,17.8,23.0,23.0,20.9,20.9,20.3,20.9,20.9,20.3,0000100001001
SPC_3991,22.8,0001101011000,22.8,20.1,20.1,17.6,17.6,22.8,20.7,20.1,20.7,20.7,22.8,22.8,22.8,0111100100000
SPC_3992,24.9,0100110011000,24.9,23.0,24.9,22.4,23.0,23.0,24.9,24.9,23.0,20.1,22.4,22.4,22.4,0001000001111
SPC_3993,0.0,0011001000111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0000000000000
SPC_3994,26.5,0101111100010,24.2,24.7,26.5,24.7,24.7,24.7,24.7,22.0,26.5,24.2,26.5,22.0,24.2,1000000101011
SPC_3995,25.7,0101111000000,25.7,23.8,23.3,23.8,21.0,21.0,21.0,25.7,25.7,23.3,23.3,23.3,25.7,0010111001110
SPC_3996,24.5,0111100100101,24.5,22.5,19.6,19.6,22.5,21.9,21.9,22.5,24.5,21.9,19.6,24.5,22.5,0011011001100
SPC_3997,24.3,0000011100110,24.3,24.3,21.7,24.3,24.3,19.4,22.3,19.4,21.7,24.3,22.3,19.4,21.7,0010010110011
SPC_3998,24.5,0001001111011,24.5,24.5,24.5,22.5,22.0,22.0,19.7,22.5,22.5,19.7,22.0,19.7,22.5,0000111001110
SPC_3999,24.6,0100101110111,24.6,22.6,22.1,24.6,19.7,22.1,22.6,22.6,22.6,22.1,19.7,19.7,22.6,0010110001110
