,shading60,move_sequence,shading_move_0,shading_move_1,shading_move_2,shading_move_3,shading_move_4,shading_move_5,shading_move_6,shading_move_7,shading_move_8,shading_move_9,shading_move_10,shading_move_11,shading_move_12,read_sequence
SPC_0578,25.3,0101100000111,25.3,23.4,22.9,20.6,20.6,22.9,22.9,22.9,22.9,25.3,23.4,20.6,20.6,0011111110011
SPC_0579,25.7,0000010111000,25.7,23.3,25.7,25.7,25.7,21.1,25.7,21.1,23.8,23.8,25.7,23.3,23.3,0100010100011
SPC_0580,27.1,0101101001101,27.1,25.3,24.9,25.3,25.3,24.9,25.3,24.9,24.9,22.8,22.8,27.1,22.8,0010010111101
SPC_0581,26.0,0000101001101,26.0,26.0,26.0,23.6,21.4,26.0,24.1,23.6,23.6,24.1,21.4,23.6,21.4,0001100110111
SPC_0582,26.3,0101001001010,26.3,24.5,26.3,21.8,24.0,24.0,24.5,26.3,24.0,21.8,26.3,24.5,26.3,0001110011000
SPC_0583,25.6,0101110100011,25.6,20.9,23.1,20.9,20.9,20.9,25.6,20.9,23.1,25.6,25.6,23.6,23.6,0111110110000
SPC_0584,23.7,0011001101101,23.7,23.7,18.6,21.6,21.1,21.1,21.6,18.6,21.1,21.6,21.6,23.7,18.6,0010110110001
SPC_0585,24.7,0101111011110,24.7,19.9,24.7,19.9,22.7,22.7,22.7,24.7,22.7,22.7,19.9,22.7,24.7,0101000000100
SPC_0586,26.7,0110000011111,26.7,24.8,22.2,26.7,26.7,26.7,26.7,26.7,22.2,24.8,22.2,22.2,22.2,0010000010111
SPC_0587,25.6,0100011000001,25.6,20.9,25.6,25.6,23.1,23.6,23.6,25.6,25.6,23.1,23.1,25.6,20.9,0100100001101
SPC_0588,23.0,0000000001000,23.0,20.3,23.0,20.3,23.0,20.3,23.0,20.3,23.0,20.9,23.0,23.0,23.0,0101010100000
SPC_0589,24.1,0000111100000,24.1,24.1,21.5,21.5,19.1,19.1,19.1,19.1,24.1,24.1,24.1,24.1,24.1,0011111100000
SPC_0590,24.0,0101110001000,24.0,22.0,24.0,22.0,19.0,22.0,24.0,21.4,24.0,19.0,21.4,24.0,21.4,0000100101101
SPC_0591,21.8,0000000101110,21.8,21.8,21.8,21.8,19.0,19.0,21.8,19.6,21.8,19.6,16.4,16.4,21.8,0000110000110
SPC_0592,25.6,0000110001001,25.6,23.2,23.2,23.2,23.7,23.7,25.6,23.2,23.2,23.7,25.6,25.6,23.7,0111000110000
SPC_0593,22.9,0001001010010,22.9,22.9,22.9,17.7,20.2,22.9,17.7,20.2,20.8,22.9,20.2,17.7,22.9,0001101100110
SPC_0594,24.2,0101111010000,24.2,19.2,21.6,19.2,22.1,22.1,22.1,21.6,22.1,24.2,21.6,21.6,24.2,0111000100110
SPC_0595,26.0,0011011001100,26.0,26.0,21.4,21.4,26.0,24.1,21.4,26.0,26.0,24.1,21.4,23.6,23.6,0011001000111
SPC_0596,24.1,0001010101111,24.1,21.5,24.1,22.1,24.1,19.1,21.5,22.1,24.1,22.1,19.1,22.1,22.1,0100011000100
SPC_0597,24.9,0010100011101,24.9,22.4,20.1,24.9,20.1,24.9,22.4,22.4,20.1,20.1,20.1,24.9,23.0,0110101111100
SPC_0598,23.6,0111011000111,23.6,21.6,21.6,21.6,23.6,21.6,18.6,21.0,21.0,21.0,18.6,21.6,21.6,0000001111100
SPC_0599,25.6,0011001100000,25.6,23.2,21.0,21.0,25.6,23.2,23.7,23.7,25.6,25.6,25.6,25.6,25.6,0111010000000
SPC_0600,24.8,0110101010110,24.8,20.0,22.9,22.3,22.9,22.3,22.9,24.8,20.0,22.3,22.9,20.0,24.8,0101010011010
SPC_0601,23.9,0001010111000,23.9,23.9,23.9,18.9,21.3,21.9,23.9,18.9,21.9,18.9,21.3,23.9,23.9,0001100101100
SPC_0602,26.1,0101101010010,26.1,24.3,23.8,24.3,24.3,26.1,24.3,23.8,21.6,26.1,26.1,24.3,26.1,0010000110000
SPC_0603,25.6,0000101111110,25.6,23.1,25.6,25.6,23.7,25.6,20.9,23.7,20.9,20.9,20.9,23.7,25.6,0100001011100
SPC_0604,25.1,0110100010111,25.1,23.2,20.4,22.7,20.4,25.1,22.7,22.7,20.4,22.7,23.2,23.2,20.4,0011101111001
SPC_0605,24.4,0001111001101,24.4,24.4,21.8,19.5,19.5,19.5,22.4,24.4,21.8,19.5,22.4,21.8,19.5,0011110011011
SPC_0606,24.1,0111000110011,24.1,22.1,19.1,22.1,24.1,21.5,21.5,22.1,19.1,24.1,21.5,19.1,19.1,0010011010111
SPC_0607,24.7,0011001110000,24.7,22.2,22.7,22.7,22.2,22.2,19.8,19.8,19.8,24.7,22.2,24.7,24.7,0100111110100
SPC_0608,25.1,0011111011001,25.1,22.6,20.3,23.2,23.2,23.2,23.2,25.1,23.2,20.3,25.1,22.6,23.2,0110000001010
SPC_0609,25.8,0000000110111,25.8,23.4,23.4,23.4,23.4,23.4,23.4,23.9,23.9,23.4,21.2,21.2,23.9,0111111001110
SPC_0610,24.1,0011001010110,24.1,21.5,19.1,19.1,21.5,21.5,22.1,21.5,22.1,21.5,19.1,22.1,24.1,0111110101100
SPC_0611,26.8,0100001101011,26.8,22.4,26.8,24.5,26.8,26.8,22.4,22.4,26.8,22.4,26.8,22.4,25.0,0101001101010
SPC_0612,24.6,0110000010010,24.6,19.7,22.6,22.0,24.6,24.6,24.6,22.0,19.7,24.6,24.6,22.6,24.6,0101000110000
SPC_0613,25.4,0010010011111,25.4,25.4,20.7,25.4,22.9,23.5,25.4,25.4,23.5,20.7,23.5,20.7,23.5,0010100001010
SPC_0614,24.8,0101111010101,24.8,19.9,24.8,22.8,19.9,19.9,22.8,24.8,19.9,22.2,22.8,24.8,19.9,0100110011001
SPC_0615,26.7,0000111100010,26.7,24.4,26.7,24.4,22.3,22.3,24.9,22.3,24.4,24.4,24.4,24.9,26.7,0101110111100
SPC_0616,24.3,0100100100000,24.3,19.4,21.7,21.7,22.3,21.7,21.7,19.4,21.7,24.3,24.3,21.7,24.3,0111011110010
SPC_0617,26.3,0010000001111,26.3,24.0,21.8,24.0,26.3,26.3,26.3,26.3,24.0,24.5,24.5,24.5,24.5,0111000010000
SPC_0618,26.7,0000101111010,26.7,26.7,24.4,26.7,24.9,24.4,22.3,22.3,22.3,24.9,26.7,24.9,26.7,0010011110000
SPC_0619,21.9,0010011000101,21.9,21.9,19.7,19.1,21.9,16.5,19.7,19.1,21.9,19.1,19.7,19.1,19.7,0001010101010
SPC_0620,27.3,0111011110011,27.3,23.0,23.0,23.0,25.1,23.0,25.6,23.0,25.6,27.3,27.3,23.0,25.6,0111110100010
SPC_0621,24.1,0101100001011,24.1,22.0,24.1,22.0,19.1,24.1,21.5,24.1,21.5,19.1,21.5,22.0,22.0,0000101011100
SPC_0622,23.5,0100100110001,23.5,18.5,20.9,20.9,18.5,23.5,20.9,18.5,18.5,23.5,20.9,20.9,21.5,0111101110110
SPC_0623,25.5,0011111111000,25.5,25.5,23.6,23.6,23.6,20.9,20.9,23.6,23.6,23.6,25.5,23.1,25.5,0000011000010
SPC_0624,25.5,0011111011101,25.5,25.5,23.5,20.8,23.5,23.5,23.5,23.0,23.5,23.5,23.5,25.5,20.8,0001000100001
SPC_0625,26.3,0111000101100,26.3,21.8,21.8,24.5,24.0,24.0,24.0,24.5,26.3,24.5,21.8,24.0,24.0,0110111000111
SPC_0626,22.7,0011010001101,22.7,22.7,17.5,20.6,20.0,17.5,22.7,20.0,20.0,20.6,20.6,22.7,20.6,0010110110000
SPC_0627,24.5,0001001110010,24.5,21.9,24.5,19.6,21.9,24.5,19.6,22.5,22.5,21.9,24.5,19.6,24.5,0101101001010
SPC_0628,25.5,0100011010001,25.5,20.8,25.5,23.1,23.1,20.8,20.8,25.5,20.8,23.1,23.1,23.1,20.8,0101111011111
SPC_0629,24.6,0110001000000,24.6,19.8,19.8,24.6,22.1,24.6,19.8,24.6,24.6,22.1,22.1,24.6,24.6,0110101001100
SPC_0630,27.2,0010001001010,27.2,24.9,25.4,27.2,27.2,24.9,22.8,24.9,27.2,22.8,24.9,25.4,27.2,0100011101100
SPC_0631,26.1,0100001111011,26.1,21.6,23.7,26.1,23.7,23.7,24.3,21.6,24.3,24.3,26.1,21.6,24.3,0110110100010
SPC_0632,21.7,0010001001001,21.7,18.9,16.3,18.9,21.7,18.9,16.3,18.9,21.7,19.5,18.9,21.7,19.5,0111011100100
SPC_0633,25.8,0111001100101,25.8,23.9,21.2,23.9,25.8,25.8,23.9,21.2,23.4,23.4,23.9,25.8,23.9,0010000111000
SPC_0634,22.5,0101101111000,22.5,17.2,19.8,20.3,17.2,22.5,17.2,20.3,20.3,17.2,22.5,19.8,19.8,0110101001011
SPC_0635,22.2,0001101111100,22.2,22.2,22.2,20.0,16.8,22.2,16.8,20.0,16.8,16.8,20.0,19.4,22.2,0000101011010
SPC_0636,26.7,0101100011001,26.7,22.3,26.7,24.9,22.3,26.7,24.4,24.4,24.9,22.3,24.4,26.7,24.9,0100101101100
SPC_0637,24.9,0011100110101,24.9,24.9,20.1,23.0,20.1,22.4,22.4,20.1,20.1,24.9,23.0,24.9,20.1,0010111110001
SPC_0638,26.8,0110011101100,26.8,22.4,22.4,24.5,26.8,22.4,22.4,25.0,24.5,22.4,22.4,26.8,24.5,0111011011101
SPC_0639,28.4,0000010010111,28.4,28.4,28.4,28.4,26.2,26.7,28.4,28.4,26.7,26.2,24.2,24.2,26.7,0000100001110
SPC_0640,22.1,0101000101111,22.1,19.9,19.3,16.7,22.1,19.3,19.3,19.9,22.1,19.9,19.9,16.7,19.9,0011011000010
SPC_0641,25.6,0111011001110,25.6,21.0,21.0,23.7,25.6,21.0,21.0,25.6,25.6,21.0,21.0,23.7,25.6,0110011001100
SPC_0642,23.4,0010001110010,23.4,23.4,18.3,23.4,20.8,20.8,18.3,18.3,18.3,23.4,23.4,18.3,23.4,0010111110010
SPC_0643,26.3,0111110001110,26.3,21.8,24.4,24.4,21.8,24.4,26.3,23.9,26.3,24.4,24.4,21.8,26.3,0100100100010
SPC_0644,24.5,0000111010101,24.5,22.0,24.5,22.0,19.7,22.6,19.7,22.0,22.6,24.5,22.6,22.0,19.7,0101101100011
SPC_0645,23.4,0010000011110,23.4,20.8,18.3,23.4,20.8,23.4,20.8,23.4,18.3,18.3,21.3,18.3,20.8,0110101011011
SPC_0646,27.6,0101101010000,27.6,23.4,25.4,23.4,23.4,27.6,23.4,27.6,23.4,27.6,27.6,27.6,27.6,0111101010000
SPC_0647,25.0,0100011110101,25.0,23.0,22.5,22.5,25.0,20.2,23.0,20.2,20.2,22.5,23.0,22.5,20.2,0011010111011
SPC_0648,0.0,0011001111100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0000000000000
SPC_0649,23.8,0111001100001,23.8,21.7,18.8,21.7,21.2,23.8,21.7,21.7,23.8,23.8,21.2,21.2,18.8,0010100000111
SPC_0650,28.0,0011110011001,28.0,28.0,26.3,26.3,23.8,23.8,25.8,28.0,23.8,23.8,25.8,28.0,26.3,0000111011100
SPC_0651,23.6,0011111111111,23.6,21.0,18.5,18.5,18.5,21.5,18.5,21.5,18.5,21.5,18.5,21.5,18.5,0111101010101
SPC_0652,24.2,0011101010011,24.2,24.2,19.3,19.3,19.3,24.2,22.2,21.7,19.3,24.2,21.7,19.3,22.2,0011100110110
SPC_0653,25.9,0110100001011,25.9,24.0,21.2,25.9,21.2,23.5,25.9,25.9,25.9,21.2,25.9,24.0,24.0,0010110001000
SPC_0654,21.8,0001111100000,21.8,21.8,21.8,19.6,16.4,16.4,16.4,16.4,19.0,21.8,21.8,21.8,21.8,0000111110000
SPC_0655,25.5,0101010110011,25.5,20.8,25.5,20.8,23.0,20.8,25.5,23.6,20.8,25.5,23.0,23.6,23.6,0101110010100
SPC_0656,24.8,0111001110000,24.8,22.9,22.9,22.9,24.8,22.3,22.9,20.0,20.0,24.8,22.3,24.8,24.8,0000010110100
SPC_0657,23.6,0101001100111,23.6,21.6,21.0,18.6,23.6,23.6,21.6,21.6,23.6,21.0,21.6,18.6,21.6,0011000001010
SPC_0658,25.9,0100100101110,25.9,21.3,25.9,23.5,24.0,23.5,25.9,21.3,25.9,21.3,21.3,21.3,23.5,0101010101111
SPC_0659,26.8,0000000000000,26.8,26.8,26.8,26.8,26.8,24.5,24.5,24.5,26.8,24.5,24.5,26.8,26.8,0000011101100
SPC_0660,26.2,0111101001111,26.2,21.7,24.3,21.7,24.3,26.2,21.7,23.8,26.2,21.7,21.7,21.7,21.7,0101001101111
SPC_0661,25.0,0011111100100,25.0,25.0,23.0,23.0,20.2,23.0,23.0,23.0,25.0,22.5,23.0,25.0,25.0,0000100001000
SPC_0662,25.5,0101100111101,25.5,23.6,25.5,20.9,20.9,23.1,23.1,20.9,20.9,23.6,20.9,25.5,23.6,0001111110100
SPC_0663,24.7,0101111100100,24.7,22.7,24.7,22.7,22.7,22.7,19.9,22.7,24.7,24.7,19.9,22.2,24.7,0000001000110
SPC_0664,21.8,0101000111000,21.8,19.6,19.0,19.6,21.8,21.8,21.8,19.6,19.6,16.4,21.8,19.0,21.8,0010000001010
SPC_0665,22.5,0011100000111,22.5,22.5,17.3,17.3,20.4,22.5,19.8,22.5,19.8,19.8,17.3,17.3,20.4,0011001011110
SPC_0666,25.9,0010110111000,25.9,23.5,24.0,23.5,21.3,21.3,25.9,21.3,24.0,21.3,23.5,25.9,23.5,0101110101101
SPC_0667,26.1,0000101111100,26.1,23.8,23.8,23.8,21.6,23.8,21.6,21.6,21.6,21.6,24.3,23.8,23.8,0111111111011
SPC_0668,27.1,0100110110111,27.1,22.7,27.1,24.8,25.3,25.3,24.8,22.7,25.3,24.8,25.3,22.7,22.7,0101001101011
SPC_0669,24.4,0111011001111,21.8,22.4,22.4,22.4,24.4,22.4,22.4,21.8,21.8,19.5,19.5,22.4,19.5,1000000111101
SPC_0670,25.0,0010100100000,25.0,22.5,23.0,25.0,23.0,22.5,22.5,23.0,22.5,25.0,25.0,22.5,22.5,0100011010011
SPC_0671,24.8,0000010011111,24.8,24.8,24.8,24.8,22.3,22.9,24.8,24.8,20.0,22.9,20.0,20.0,20.0,0000100010111
SPC_0672,24.1,0001011111011,24.1,21.5,21.5,19.1,21.5,19.1,19.1,22.0,22.0,22.0,24.1,19.1,22.0,0111111000010
SPC_0673,25.3,0101000001100,25.3,23.4,22.9,23.4,22.9,22.9,22.9,25.3,22.9,23.4,23.4,22.9,22.9,0010111010011
SPC_0674,0.0,0111000100000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0000000000000
SPC_0675,26.2,0000010111010,26.2,26.2,23.8,26.2,23.8,24.3,23.8,21.7,24.3,24.3,26.2,21.7,23.8,0010101100011
SPC_0676,27.1,1000000000001,25.3,27.1,27.1,27.1,27.1,27.1,27.1,24.8,27.1,27.1,27.1,27.1,22.7,0000000100001
SPC_0677,22.4,0101111101100,22.4,20.3,22.4,20.3,20.3,20.3,17.1,20.3,19.7,17.1,20.3,19.7,22.4,0000001011010
SPC_0678,24.2,0001000101100,21.7,24.2,24.2,22.2,24.2,24.2,21.7,19.3,24.2,22.2,19.3,21.7,21.7,1000001100111
SPC_0679,22.4,0111100011000,22.4,20.3,20.3,17.1,17.1,19.7,22.4,19.7,20.3,17.1,19.7,22.4,19.7,0001110101101
SPC_0680,25.5,0101100011010,25.5,20.9,23.1,23.6,23.6,23.1,25.5,25.5,20.9,23.6,25.5,23.6,25.5,0110010010000
SPC_0681,23.7,0011110110100,23.7,21.1,18.7,21.6,21.6,21.6,23.7,18.7,18.7,21.1,21.6,21.1,23.7,0110000111010
SPC_0682,27.3,0011101010001,27.3,25.1,23.0,23.0,25.6,27.3,25.6,27.3,23.0,27.3,27.3,25.1,23.0,0111000010011
SPC_0683,23.9,0101111100011,23.9,18.8,21.2,18.8,21.8,21.8,21.8,21.8,23.9,23.9,21.2,18.8,18.8,0111000000111
SPC_0684,25.3,0000101010100,25.3,22.9,25.3,25.3,20.6,25.3,20.6,25.3,23.4,25.3,23.4,22.9,22.9,0100101000011
SPC_0685,27.6,0010111000101,27.6,25.4,23.3,25.4,25.8,23.3,25.8,25.4,25.4,25.4,23.3,27.6,23.3,0111010111101
SPC_0686,23.4,0001010000001,23.4,20.7,23.4,21.3,20.7,21.3,20.7,23.4,23.4,20.7,20.7,20.7,21.3,0100101001110
SPC_0687,24.5,0001111010001,24.5,24.5,24.5,22.5,22.5,19.7,19.7,22.0,19.7,22.0,24.5,22.0,22.5,0000011111010
SPC_0688,27.7,0000101010010,27.7,25.5,27.7,25.5,26.0,27.7,23.4,27.7,23.4,25.5,25.5,26.0,25.5,0101001011101
SPC_0689,26.1,0011111110001,26.1,23.8,24.3,21.6,24.3,24.3,24.3,24.3,21.6,26.1,23.8,23.8,24.3,0101000010110
SPC_0690,27.3,0000110100001,27.3,25.1,25.1,27.3,23.0,25.6,27.3,23.0,27.3,25.1,25.1,27.3,25.6,0110100101100
SPC_0691,27.5,0111001110100,27.5,23.1,23.1,25.7,27.5,25.2,23.1,23.1,23.1,25.2,23.1,27.5,25.2,0110011111101
SPC_0692,27.5,0110111101100,27.5,25.7,23.2,27.5,23.2,25.7,25.7,25.7,27.5,25.7,25.7,27.5,27.5,0010100000000
SPC_0693,27.8,0001111101111,27.8,25.6,25.6,23.6,23.6,26.1,26.1,26.1,27.8,26.1,26.1,26.1,26.1,0111100000000
SPC_0694,26.1,0000110100011,26.1,23.7,26.1,26.1,21.5,24.3,23.7,21.5,26.1,26.1,26.1,24.3,21.5,0100101100001
SPC_0695,24.1,0111011010111,24.1,19.2,19.2,19.2,24.1,22.1,22.1,24.1,22.1,24.1,22.1,19.2,22.1,0111000000010
SPC_0696,26.5,0001101001010,26.5,26.5,26.5,24.7,24.7,26.5,22.0,24.2,26.5,24.7,24.2,24.7,24.2,0000001100101
SPC_0697,25.2,0110111011001,25.2,20.5,20.5,25.2,23.3,23.3,23.3,22.8,20.5,23.3,22.8,22.8,23.3,0110000110110
SPC_0698,28.0,0100110100011,28.0,23.8,28.0,28.0,23.8,23.8,25.8,23.8,28.0,28.0,25.8,26.3,23.8,0100111100101
SPC_0699,26.7,0100000111111,26.7,22.2,24.4,26.7,24.4,26.7,26.7,24.9,22.2,22.2,24.9,24.9,22.2,0110100011001
SPC_0700,23.7,0101101110000,23.7,21.7,23.7,21.7,18.7,23.7,18.7,21.7,18.7,23.7,23.7,21.1,23.7,0000101010010
SPC_0701,24.9,0111001111001,24.9,20.0,20.0,20.0,22.3,24.9,22.9,22.9,22.9,22.9,24.9,22.3,22.9,0111100000010
SPC_0702,0.0,0011101011010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0000000000000
SPC_0703,24.7,0001101010011,24.7,24.7,24.7,22.7,22.7,24.7,19.9,22.2,19.9,24.7,22.2,19.9,19.9,0000001110111
SPC_0704,27.3,0101110100010,27.3,25.5,27.3,25.5,25.5,25.5,25.0,25.5,25.0,27.3,25.0,22.9,27.3,0000001010110
SPC_0705,25.6,0101111011111,25.6,23.7,23.2,23.7,20.9,23.7,20.9,23.2,23.7,23.7,23.7,23.7,20.9,0010101100001
SPC_0706,26.2,0111010001110,26.2,24.3,21.6,21.6,26.2,21.6,23.8,23.8,23.8,24.3,21.6,21.6,23.8,0011011110111
SPC_0707,23.7,0010100011111,23.7,23.7,21.6,21.1,18.6,23.7,21.1,23.7,18.6,18.6,21.6,21.6,18.6,0001101011001
SPC_0708,23.3,0010110011100,23.3,23.3,21.2,20.6,21.2,21.2,20.6,20.6,21.2,21.2,21.2,23.3,23.3,0001001100000
SPC_0709,24.4,0100110011100,24.4,19.5,24.4,21.9,19.5,22.4,24.4,24.4,22.4,19.5,22.4,24.4,24.4,0101100001000
SPC_0710,23.7,0001010001011,23.7,21.1,23.7,21.6,21.1,21.6,21.1,21.1,23.7,21.6,21.1,18.6,18.6,0100101100111
SPC_0711,25.3,0101111010100,25.3,23.3,22.8,20.5,23.3,20.5,23.3,25.3,23.3,22.8,20.5,22.8,22.8,0011010001111
SPC_0712,27.1,0111011100101,27.1,25.3,22.7,25.3,24.8,25.3,22.7,22.7,24.8,24.8,25.3,27.1,22.7,0010101111001
SPC_0713,25.3,0110100111010,25.3,20.6,20.6,22.9,23.4,22.9,22.9,20.6,20.6,20.6,25.3,23.4,25.3,0111011111000
SPC_0714,23.5,0010011001101,23.5,20.9,18.5,20.9,20.9,18.5,21.5,23.5,20.9,21.5,21.5,23.5,18.5,0111110010001
SPC_0715,25.7,0100111100011,25.7,21.1,25.7,25.7,21.1,21.1,23.8,21.1,25.7,25.7,25.7,23.8,21.1,0100110100001
SPC_0716,25.3,0110111001000,25.3,20.5,23.3,22.8,20.5,23.3,20.5,25.3,22.8,23.3,22.8,22.8,25.3,0101101010110
SPC_0717,22.7,0010110000110,22.7,22.7,20.5,19.9,17.4,20.5,19.9,19.9,19.9,22.7,17.4,20.5,19.9,0001101110101
SPC_0718,24.4,0101110110100,24.4,22.4,24.4,19.5,19.5,22.4,24.4,22.4,19.5,21.8,22.4,21.8,24.4,0001100011010
SPC_0719,26.3,0100011101111,26.3,21.8,26.3,26.3,26.3,24.4,24.4,21.8,23.9,24.4,24.4,21.8,24.4,0100000110010
SPC_0720,25.0,1000001001011,23.0,22.5,25.0,22.5,22.5,25.0,20.2,22.5,25.0,23.0,22.5,20.2,20.2,0101101100111
SPC_0721,27.8,0111011110001,27.8,26.1,23.6,26.1,27.8,26.1,26.1,26.1,23.6,25.6,27.8,27.8,23.6,0010000011001
SPC_0722,24.4,0000110011110,24.4,21.9,21.9,24.4,22.4,22.4,21.9,21.9,19.5,19.5,19.5,22.4,21.9,0110001111101
SPC_0723,25.1,0001001110000,25.1,22.7,25.1,20.4,25.1,25.1,23.2,23.2,23.2,25.1,25.1,25.1,22.7,0101000000001
SPC_0724,26.3,0010111010011,26.3,23.9,24.4,23.9,24.4,24.4,24.4,23.9,24.4,23.9,23.9,24.4,21.8,0101000101101
SPC_0725,22.4,0110111111101,22.4,20.2,20.2,22.4,20.2,17.0,17.0,20.2,20.2,17.0,20.2,22.4,20.2,0000011001000
SPC_0726,24.7,0000011010011,24.7,24.7,24.7,24.7,24.7,22.7,19.8,24.7,22.7,24.7,22.2,22.7,22.7,0000001000100
SPC_0727,25.9,0100000001101,25.9,24.1,23.5,23.5,23.5,25.9,23.5,23.5,25.9,24.1,21.3,25.9,21.3,0011101100101
SPC_0728,24.0,0011010001110,24.0,21.4,21.9,21.9,24.0,19.0,21.4,24.0,21.4,21.9,19.0,19.0,21.4,0100011010111
SPC_0729,26.5,0011000111101,26.5,24.1,22.0,24.6,26.5,24.1,26.5,24.6,22.0,22.0,24.6,24.1,24.6,0110010011010
SPC_0730,26.7,0000000111101,26.7,26.7,26.7,26.7,26.7,24.3,24.3,22.2,24.8,24.8,24.8,26.7,22.2,0000011100001
SPC_0731,24.5,0011001010001,24.5,24.5,19.6,22.5,22.0,22.0,22.5,22.0,22.5,22.0,24.5,24.5,22.5,0010110101000
SPC_0732,24.9,0101011111000,24.9,23.0,22.4,20.1,24.9,23.0,23.0,20.1,20.1,20.1,24.9,22.4,22.4,0011000111011
SPC_0733,24.3,0111001111110,24.3,19.3,22.3,22.3,24.3,24.3,22.3,19.3,19.3,19.3,22.3,22.3,21.7,0100000111001
SPC_0734,27.4,0110010100001,27.4,25.6,25.6,25.1,25.1,23.1,27.4,25.6,27.4,25.1,27.4,27.4,25.6,0001110001000
SPC_0735,25.3,0101000010000,25.3,20.5,22.8,20.5,22.8,25.3,25.3,22.8,20.5,22.8,22.8,25.3,25.3,0111100111100
SPC_0736,23.3,0001110010001,23.3,23.3,20.6,21.2,21.2,21.2,23.3,20.6,18.1,20.6,20.6,20.6,21.2,0010000111110
SPC_0737,25.6,0100101110110,25.6,23.7,25.6,23.2,20.9,23.2,20.9,20.9,23.7,23.2,23.7,23.7,23.2,0001111101001
SPC_0738,26.6,0101100011000,26.6,22.1,24.3,22.1,22.1,26.6,24.3,24.3,24.8,22.1,24.3,24.3,26.6,0111101101110
SPC_0739,25.9,0000110010000,25.9,23.5,25.9,25.9,24.0,24.0,25.9,25.9,21.3,23.5,23.5,25.9,23.5,0100000011101
SPC_0740,25.6,0011110100001,25.6,23.2,20.9,23.7,20.9,23.7,25.6,20.9,25.6,25.6,23.2,23.2,20.9,0110100100111
SPC_0741,28.1,0101111111111,28.1,23.9,28.1,26.4,26.4,26.4,26.4,23.9,26.4,23.9,26.4,26.4,26.4,0100000101000
SPC_0742,25.8,0111110111000,25.8,23.9,21.1,21.1,21.1,23.9,25.8,21.1,23.9,21.1,25.8,23.4,25.8,0011100101010
SPC_0743,26.2,0010110000111,26.2,26.2,24.3,26.2,21.6,21.6,26.2,26.2,23.8,26.2,24.3,21.6,24.3,0000110010010
SPC_0744,28.1,0101100100101,28.1,26.4,28.1,23.9,23.9,25.9,28.1,23.9,28.1,28.1,23.9,28.1,23.9,0001110100101
SPC_0745,24.7,0100100010101,24.7,19.9,24.7,22.2,19.9,22.2,24.7,24.7,19.9,22.2,19.9,22.2,22.8,0101110011110
SPC_0746,23.7,0000111111100,23.7,23.7,23.7,21.0,18.6,21.6,18.6,18.6,18.6,18.6,21.6,21.0,21.0,0001101111011
SPC_0747,24.7,0110101001000,24.7,22.8,19.9,24.7,22.8,22.2,22.8,24.7,24.7,22.8,22.2,24.7,24.7,0010010000100
SPC_0748,25.7,0000000111000,25.7,25.7,23.2,23.2,23.2,23.2,25.7,23.8,21.0,23.8,25.7,25.7,25.7,0011110010000
SPC_0749,24.7,0011010110011,24.7,24.7,22.8,22.8,22.2,22.8,24.7,22.8,19.9,24.7,24.7,22.8,19.9,0000100010001
SPC_0750,25.1,0110001011111,25.1,23.2,23.2,25.1,22.6,22.6,20.3,22.6,20.3,20.3,23.2,20.3,23.2,0000111111010
SPC_0751,26.9,0001011110010,26.9,26.9,26.9,22.5,26.9,22.5,25.1,22.5,25.1,26.9,26.9,25.1,26.9,0001010100000
SPC_0752,25.8,0110011101001,25.8,23.9,21.2,25.8,25.8,23.9,21.2,23.9,25.8,23.9,23.4,25.8,21.2,0010001000101
SPC_0753,24.8,0011010011100,24.8,24.8,22.8,20.0,24.8,22.8,24.8,22.3,22.8,20.0,22.8,22.3,22.3,0001000101011
SPC_0754,24.9,0101010101010,22.4,23.0,24.9,23.0,24.9,23.0,22.4,20.1,24.9,23.0,24.9,20.1,22.4,1000001100011
SPC_0755,23.6,0101100010101,23.6,18.6,21.0,18.6,21.6,21.0,21.0,21.0,21.6,23.6,21.6,23.6,21.6,0111011100000
SPC_0756,22.4,0000001100001,22.4,22.4,22.4,22.4,19.7,19.7,17.1,17.1,22.4,22.4,22.4,19.7,17.1,0000111100011
SPC_0757,25.2,0001111000000,25.2,22.7,25.2,20.4,23.3,23.3,20.4,25.2,22.7,22.7,22.7,22.7,25.2,0101001011110
SPC_0758,26.9,0010011011100,26.9,26.9,25.1,24.6,24.6,25.1,25.1,24.6,22.5,22.5,25.1,24.6,24.6,0001100111011
SPC_0759,27.5,0011010110100,27.5,25.3,25.8,23.3,27.5,25.8,25.3,25.8,23.3,27.5,25.8,25.3,25.3,0101001010011
SPC_0760,25.7,0101100000011,25.7,23.8,25.7,23.8,23.8,23.2,25.7,25.7,23.2,23.2,25.7,23.8,21.0,0000010011001
SPC_0761,23.5,0001110000111,23.5,20.9,20.9,21.5,18.5,21.5,20.9,20.9,23.5,23.5,21.5,21.5,21.5,0110101100000
SPC_0762,24.7,0001111001111,24.7,22.2,24.7,22.7,19.8,22.7,19.8,22.2,24.7,22.7,19.8,22.7,19.8,0100101100101
